Strain,Replicate,Concentration,Transfer
A02,12,0,t0
A02,12,0.4,t1
A02,11,0.4,t2
A02,11,0.8,t3
A02,11,0.8,t4
A02,11,1,t5
A02,11,1,t6
A02,11,1.25,t7
A02,5,1.25,t8
A02,5,1.5,t9
A02,5,1.5,t10
A02,4,1.5,t11
A02,4,1.5,t12
A02,4,1.5,t13
A02,4,2,t14
A02,4,2,t15
A02,4,2,t16
A02,4,2,t17
A02,2,2,t18
A02,2,3,t19
A02,2,3,t20
A02,2,3,t21
A02,0,3,t22
A03,12,0,t0
A03,12,0.4,t1
A03,12,0.4,t2
A03,12,0.8,t3
A03,12,0.8,t4
A03,12,1,t5
A03,12,1,t6
A03,12,1.25,t7
A03,11,1.25,t8
A03,11,1.5,t9
A03,11,1.5,t10
A03,11,1.5,t11
A03,11,1.5,t12
A03,11,1.5,t13
A03,11,1.75,t14
A03,11,1.75,t15
A03,6,1.75,t16
A03,6,1.75,t17
A03,5,1.75,t18
A03,5,2,t19
A03,4,2,t20
A03,4,2,t21
A03,4,2,t22
A03,4,2,t23
A03,4,3,t24
A03,4,3,t25
A03,3,3,t26
A03,0,3,t27
A04,12,0,t0
A04,12,0.4,t1
A04,12,0.4,t2
A04,12,0.8,t3
A04,12,0.8,t4
A04,12,1,t5
A04,12,1,t6
A04,12,1.25,t7
A04,11,1.25,t8
A04,11,1.5,t9
A04,11,1.5,t10
A04,11,1.5,t11
A04,11,1.5,t12
A04,11,1.5,t13
A04,11,2,t14
A04,11,2,t15
A04,11,2,t16
A04,11,2,t17
A04,11,2,t18
A04,11,3,t19
A04,11,3,t20
A04,9,3,t21
A04,9,3,t22
A04,4,3,t23
A04,4,4,t24
A04,0,4,t25
A08,12,0,t0
A08,12,0.4,t1
A08,12,0.4,t2
A08,12,0.8,t3
A08,12,0.8,t4
A08,12,1,t5
A08,12,1,t6
A08,12,1.25,t7
A08,12,1.25,t8
A08,10,1.5,t9
A08,10,1.5,t10
A08,10,1.5,t11
A08,10,1.5,t12
A08,9,1.5,t13
A08,9,2,t14
A08,9,2,t15
A08,9,2,t16
A08,9,2,t17
A08,9,2,t18
A08,9,3,t19
A08,8,3,t20
A08,8,3,t21
A08,8,3,t22
A08,8,3,t23
A08,7,4,t24
A08,7,4,t25
A08,0,4,t26
A10,12,0,t0
A10,12,0.4,t1
A10,12,0.4,t2
A10,12,0.8,t3
A10,12,0.8,t4
A10,12,1,t5
A10,12,1,t6
A10,12,1.25,t7
A10,4,1.25,t8
A10,2,1.5,t9
A10,2,1.5,t10
A10,2,1.5,t11
A10,2,1.5,t12
A10,1,1.5,t13
A10,1,1.75,t14
A10,1,1.75,t15
A10,1,1.75,t16
A10,1,1.75,t17
A10,1,1.75,t18
A10,1,2,t19
A10,0,2,t20
A12,12,0,t0
A12,12,0.4,t1
A12,12,0.4,t2
A12,12,0.8,t3
A12,12,0.8,t4
A12,12,1,t5
A12,12,1,t6
A12,12,1.25,t7
A12,9,1.25,t8
A12,9,1.5,t9
A12,8,1.5,t10
A12,5,1.5,t11
A12,5,1.5,t12
A12,5,1.5,t13
A12,5,1.75,t14
A12,5,1.75,t15
A12,5,1.75,t16
A12,5,1.75,t17
A12,5,1.75,t18
A12,5,2,t19
A12,5,2,t20
A12,4,2,t21
A12,2,2,t22
A12,0,2,t23
A17,12,0,t0
A17,12,0.4,t1
A17,12,0.4,t2
A17,12,0.8,t3
A17,12,0.8,t4
A17,12,1,t5
A17,12,1,t6
A17,12,1.25,t7
A17,4,1.25,t8
A17,4,1.5,t9
A17,3,1.5,t10
A17,3,1.5,t11
A17,3,1.5,t12
A17,3,1.5,t13
A17,3,1.75,t14
A17,3,1.75,t15
A17,3,1.75,t16
A17,2,1.75,t17
A17,2,1.75,t18
A17,2,2,t19
A17,0,2,t20
A18,12,0,t0
A18,12,0.4,t1
A18,12,0.4,t2
A18,12,0.8,t3
A18,12,0.8,t4
A18,12,1,t5
A18,12,1,t6
A18,12,1.25,t7
A18,6,1.25,t8
A18,6,1.5,t9
A18,6,1.5,t10
A18,6,1.5,t11
A18,6,1.5,t12
A18,6,1.5,t13
A18,6,1.75,t14
A18,6,1.75,t15
A18,6,1.75,t16
A18,6,1.75,t17
A18,5,1.75,t18
A18,4,2,t19
A18,0,2,t20
