,Strain_type,Replicate,OD24_avg,OD48_avg,OD72_avg,OD24_median,OD48_median,OD72_median,OD24_max,OD48_max,OD72_max,OD24_min,OD48_min,OD72_min,lgr_avg,fakelag_avg,maxOD_avg,lgr_median,fakelag_median,maxOD_median,lgr_max,fakelag_max,maxOD_max,lgr_min,fakelag_min,BA125GClgr_avg,Strain,Origin,StrainName
1,A03_ancestral,Rep2,0.089333333,0.09,0.103,0.086,0.091,0.097,0.096,0.092,0.123,0.086,0.087,0.089,0.019735903,NA,0.103666667,0.005046537,NA,0.098,0.051237929,#NAME?,0.124,0.002923244,Inf,0.019735903,A03,ancestral,GC75
2,A03_ancestral,Rep3,0.089666667,0.092,0.094333333,0.088,0.09,0.092,0.095,0.098,0.1,0.086,0.088,0.091,0.005307081,NA,0.094666667,0.005304482,NA,0.092,0.007164808,#NAME?,0.101,0.003451955,Inf,0.005307081,A03,ancestral,GC75
3,A03_ancestral,Rep7,0.089,0.092333333,0.096666667,0.088,0.089,0.087,0.091,0.101,0.117,0.088,0.087,0.086,0.004505013,NA,0.098,0.003398557,NA,0.089,0.007004229,#NAME?,0.117,0.003112254,Inf,0.004505013,A03,ancestral,GC75
4,A03_ancestral,Rep8,0.090333333,0.090333333,0.089666667,0.092,0.091,0.089,0.094,0.093,0.093,0.085,0.087,0.087,0.005996129,NA,0.092333333,0.006066836,NA,0.094,0.008424911,#NAME?,0.094,0.00349664,Inf,0.005996129,A03,ancestral,GC75
5,A03_evolved,Rep2,0.096333333,0.210666667,0.405333333,0.088,0.146,0.265,0.116,0.39,0.86,0.085,0.096,0.091,0.033636469,43.25,0.409666667,0.041101842,43.25,0.27,0.054740457,43.25,0.863,0.005067108,43.25,0.033636469,A03,evolved,GC75
6,A03_evolved,Rep3,0.092,0.135,0.339666667,0.093,0.134,0.335,0.095,0.138,0.363,0.088,0.133,0.321,0.046858621,67.83333333,0.342,0.04593883,68,0.336,0.05542317,70.5,0.366,0.039213864,65,0.046858621,A03,evolved,GC75
7,A03_evolved,Rep4,0.110666667,0.442,0.718,0.111,0.491,0.819,0.117,0.538,0.949,0.104,0.297,0.386,0.07375108,40.58333333,0.740666667,0.081772952,37.5,0.822,0.091260821,48.5,0.952,0.048219467,35.75,0.07375108,A03,evolved,GC75
8,A03_evolved,Rep8,0.095333333,0.212333333,0.342333333,0.095,0.177,0.237,0.104,0.368,0.703,0.087,0.092,0.087,0.032172889,43.5,0.349,0.028597122,43.5,0.245,0.063136251,43.5,0.709,0.004785295,43.5,0.032172889,A03,evolved,GC75
9,A04_ancestral,Rep3,0.086666667,0.090333333,0.100666667,0.084,0.086,0.087,0.095,0.103,0.13,0.081,0.082,0.085,0.005960906,NA,0.101666667,0.003417953,NA,0.09,0.011113186,#NAME?,0.13,0.003351581,Inf,0.005960906,A04,ancestral,P78048
10,A04_ancestral,Rep5,0.085333333,0.088333333,0.097333333,0.087,0.088,0.089,0.088,0.095,0.116,0.081,0.082,0.087,0.006160699,NA,0.097666667,0.004372313,NA,0.089,0.010816317,#NAME?,0.116,0.003293468,Inf,0.006160699,A04,ancestral,P78048
11,A04_ancestral,Rep6,0.089333333,0.093333333,0.101666667,0.091,0.096,0.107,0.091,0.097,0.11,0.086,0.087,0.088,0.00499617,NA,0.102,0.005658785,NA,0.108,0.006448524,#NAME?,0.11,0.002881201,Inf,0.00499617,A04,ancestral,P78048
12,A04_ancestral,Rep7,0.088666667,0.089666667,0.092666667,0.09,0.089,0.091,0.091,0.092,0.1,0.085,0.088,0.087,0.005676019,NA,0.094,0.006390875,NA,0.092,0.007662346,#NAME?,0.1,0.002974835,Inf,0.005676019,A04,ancestral,P78048
13,A04_evolved,Rep6,0.094666667,0.143666667,0.311333333,0.096,0.121,0.299,0.103,0.193,0.397,0.085,0.117,0.238,0.044554819,58.25,0.312333333,0.045581753,58.25,0.3,0.049536771,58.25,0.399,0.038545933,58.25,0.044554819,A04,evolved,P78048
14,A04_evolved,Rep7,0.098666667,0.183333333,0.302,0.1,0.201,0.324,0.102,0.206,0.372,0.094,0.143,0.21,0.04079875,58,0.306,0.042092453,58,0.333,0.053082195,58.5,0.372,0.027221602,57.5,0.04079875,A04,evolved,P78048
15,A04_evolved,Rep8,0.091333333,0.121333333,0.264,0.087,0.119,0.275,0.101,0.129,0.285,0.086,0.116,0.232,0.046514605,NA,0.265333333,0.047986236,NA,0.276,0.054504736,#NAME?,0.286,0.037052844,Inf,0.046514605,A04,evolved,P78048
16,A04_evolved,Rep9,0.085666667,0.337,0.610333333,0.084,0.344,0.62,0.089,0.43,0.783,0.084,0.237,0.428,0.093101454,46.58333333,0.611666667,0.096493982,46,0.622,0.104529527,52.25,0.785,0.078280854,41.5,0.093101454,A04,evolved,P78048
17,A08_ancestral,Rep10,0.103,0.298666667,0.432666667,0.109,0.358,0.543,0.114,0.432,0.624,0.086,0.106,0.131,0.04329727,43,0.440666667,0.056934098,43,0.56,0.06217702,44.75,0.631,0.010780693,41.25,0.04329727,A08,ancestral,P75016
18,A08_ancestral,Rep7,0.094333333,0.225333333,0.346,0.093,0.201,0.361,0.098,0.275,0.374,0.092,0.2,0.303,0.050299045,56.25,0.353,0.047473123,58.25,0.363,0.056323167,60.25,0.385,0.047100844,50.25,0.050299045,A08,ancestral,P75016
19,A08_ancestral,Rep8,0.093333333,0.232,0.42,0.093,0.239,0.37,0.098,0.286,0.53,0.089,0.171,0.36,0.054519041,55,0.425333333,0.052421792,53.5,0.38,0.065605656,62.5,0.534,0.045529676,49,0.054519041,A08,ancestral,P75016
20,A08_ancestral,Rep9,0.099333333,0.273333333,0.381333333,0.099,0.31,0.421,0.11,0.37,0.474,0.089,0.14,0.249,0.05199091,45.375,0.392666667,0.060092757,45.375,0.441,0.064283419,47.5,0.488,0.031596555,43.25,0.05199091,A08,ancestral,P75016
21,A08_evolved,Rep3,0.142,0.667,0.852,0.133,0.851,1.148,0.19,0.98,1.273,0.103,0.17,0.135,0.083001305,30,0.865333333,0.096000411,30,1.148,0.123916597,31,1.274,0.029086907,29,0.083001305,A08,evolved,P75016
22,A08_evolved,Rep4,0.118333333,0.668666667,0.916666667,0.101,0.676,1.167,0.153,1.048,1.338,0.101,0.282,0.245,0.096419075,39.5,0.941666667,0.100282537,37,1.169,0.138685935,52.5,1.339,0.050288752,29,0.096419075,A08,evolved,P75016
23,A08_evolved,Rep7,0.126333333,0.734333333,0.986,0.117,0.749,1.136,0.148,0.988,1.324,0.114,0.466,0.498,0.102729895,34.08333333,0.998666667,0.109474295,34.25,1.137,0.122256231,38,1.326,0.076459158,30,0.102729895,A08,evolved,P75016
24,A08_evolved,Rep8,0.153333333,0.965666667,1.377666667,0.154,0.969,1.383,0.164,1.027,1.387,0.142,0.901,1.363,0.13029053,29.41666667,1.379,0.127974434,29.5,1.385,0.13681903,30.25,1.388,0.126078126,28.5,0.13029053,A08,evolved,P75016
25,A18_ancestral,Rep4,0.086666667,0.089666667,0.088666667,0.088,0.091,0.09,0.091,0.095,0.094,0.081,0.083,0.082,0.003926375,NA,0.09,0.003939264,NA,0.091,0.00426675,#NAME?,0.096,0.003573111,Inf,0.003926375,A18,ancestral,FH1
26,A18_ancestral,Rep5,0.085,0.085,0.085,0.085,0.086,0.086,0.087,0.087,0.086,0.083,0.082,0.083,0.003090237,NA,0.087,0.002873211,NA,0.087,0.003946001,#NAME?,0.087,0.0024515,Inf,0.003090237,A18,ancestral,FH1
27,A18_ancestral,Rep6,0.084,0.085333333,0.084333333,0.084,0.084,0.083,0.085,0.088,0.088,0.083,0.084,0.082,0.0026852,NA,0.086,0.002646024,NA,0.085,0.003461672,#NAME?,0.089,0.001947905,Inf,0.0026852,A18,ancestral,FH1
28,A18_evolved,Rep1,0.082333333,0.093,0.121,0.083,0.091,0.091,0.084,0.106,0.187,0.08,0.082,0.085,0.017742057,NA,0.122333333,0.008122216,NA,0.093,0.04053383,#NAME?,0.187,0.004570127,Inf,0.017742057,A18,evolved,FH1
29,A18_evolved,Rep2,0.087666667,0.178666667,0.183666667,0.087,0.188,0.169,0.089,0.242,0.287,0.087,0.106,0.095,0.036553418,NA,0.198333333,0.036883499,NA,0.2,0.059694655,#NAME?,0.289,0.0130821,Inf,0.036553418,A18,evolved,FH1
30,A18_evolved,Rep3,0.084333333,0.089666667,0.088666667,0.085,0.087,0.085,0.086,0.096,0.096,0.082,0.086,0.085,0.00397406,NA,0.091333333,0.003064843,NA,0.091,0.006026741,#NAME?,0.097,0.002830594,Inf,0.00397406,A18,evolved,FH1
31,A18_evolved,Rep4,0.106666667,0.251333333,0.298,0.095,0.182,0.175,0.139,0.487,0.574,0.086,0.085,0.145,0.057737252,38,0.305,0.058250345,38,0.188,0.099235318,38,0.581,0.015726092,38,0.057737252,A18,evolved,FH1
